end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701120335.0,1,37.2,37.2,-10.7,-1.2,-19.3,8.6,4436308,3141070,0.708,55911,461533
1701120415.0,1,49.6,49.6,-7.5,-0.9,-15.7,8.2,5535705,4042559,0.73,56565,437709
1701120485.0,1,48.0,48.0,-7.9,-1.0,-15.7,7.8,5613699,4107281,0.732,54638,425491
1701120565.0,1,43.4,43.4,-8.0,-1.0,-16.0,8.0,5709152,4161776,0.729,52714,423598
1701120635.0,1,38.6,38.6,-9.6,-1.1,-17.7,8.1,4992012,3562934,0.714,54036,387369
1701120715.0,1,43.9,43.9,-8.0,-0.8,-15.5,7.5,5643455,4114421,0.729,51769,372960
1701120785.0,1,32.8,32.8,-11.0,-0.8,-19.7,8.7,4271082,2925383,0.685,50606,380830
1701120865.0,1,40.2,40.2,-9.0,-0.9,-16.9,7.9,5181886,3718719,0.718,52470,421133
1701120935.0,1,44.5,44.5,-8.6,-0.9,-15.9,7.3,5639960,4105610,0.728,51134,419098
1701121015.0,1,29.7,29.7,-13.2,-0.9,-22.1,8.9,3670214,2454991,0.669,50185,428643
1701121085.0,1,28.0,28.0,-14.0,-1.3,-23.4,9.4,3518293,2316526,0.658,47632,370477
1701121165.0,1,42.1,42.1,-9.4,-1.0,-17.4,8.0,5705687,4147646,0.727,47111,392888
1701121235.0,1,36.4,36.4,-11.7,-1.1,-19.5,7.8,5044708,3557056,0.705,47845,399058
1701121315.0,1,-10,59.0,-4.4,-0.9,-10.7,6.3,5805772,4297596,0.74,40898,414270
1701121395.0,1,33.8,33.8,-10.8,-1.1,-19.0,8.2,4706937,3308584,0.703,45671,411171
1701121465.0,2,44.5,44.5,-8.3,-1.0,-15.8,7.5,5797386,4241045,0.732,46588,395102
1701121545.0,2,-10,59.0,-4.5,-0.7,-10.4,5.9,5852956,4351473,0.743,38528,441202
1701121615.0,2,32.8,32.8,-12.3,-0.9,-21.1,8.8,4723864,3285330,0.695,39934,399957
1701121695.0,2,42.1,42.1,-8.8,-1.0,-16.3,7.5,6055151,4420241,0.73,42140,405844
1701121765.0,2,43.9,43.9,-8.1,-0.9,-15.5,7.4,6270550,4614210,0.736,43887,401147
1701121845.0,2,43.4,43.4,-8.2,-0.9,-17.0,8.8,5779871,4239539,0.734,46556,439228
1701121915.0,2,33.8,33.8,-11.0,-1.1,-21.0,10.0,4490532,3161283,0.704,44584,428519
1701121995.0,2,36.4,36.4,-10.4,-1.1,-20.4,10.0,4649897,3288416,0.707,46815,412302
1701122065.0,2,40.2,40.2,-8.9,-1.0,-17.9,9.0,5345462,3881663,0.726,48315,406211
1701122145.0,2,49.6,49.6,-7.7,-0.8,-15.8,8.1,6164657,4549393,0.738,46495,414720
1701122215.0,2,28.0,28.0,-12.4,-1.2,-22.4,10.0,4005549,2690147,0.672,47838,406854
1701122295.0,2,38.6,38.6,-9.4,-1.0,-17.9,8.5,5416435,3907173,0.721,44607,398355
1701122365.0,2,29.7,29.7,-11.5,-1.3,-21.9,10.4,4221971,2904876,0.688,42368,431245
1701122445.0,2,37.2,37.2,-9.8,-1.0,-18.1,8.3,5829975,4225719,0.725,39400,413592
1701122515.0,2,48.0,48.0,-8.0,-1.0,-15.6,7.6,6878166,5095907,0.741,43223,417634
1701122595.0,3,43.4,43.4,-9.0,-0.9,-16.4,7.4,6294234,4637233,0.737,41834,395898
1701122675.0,3,43.9,43.9,-8.4,-1.1,-16.1,7.7,6374208,4710049,0.739,42472,387131
1701122745.0,3,-10,59.0,-4.3,-0.8,-10.8,6.5,5831380,4335275,0.743,41275,358128
1701122825.0,3,29.7,29.7,-12.9,-0.9,-22.8,9.9,3654034,2483835,0.68,47493,437869
1701122895.0,3,44.5,44.5,-8.2,-0.8,-16.6,8.4,5766263,4237089,0.735,47477,423643
1701122975.0,3,49.6,49.6,-7.2,-0.9,-15.7,8.5,6016893,4429178,0.736,47415,407007
1701123045.0,3,38.6,38.6,-9.4,-1.0,-19.1,9.7,5054986,3631925,0.718,47229,410566
1701123125.0,3,28.0,28.0,-13.1,-2.6,-23.6,10.5,3603369,2429246,0.674,44784,428010
1701123195.0,3,48.0,48.0,-7.1,-0.9,-15.6,8.5,6023502,4428542,0.735,49110,442008
1701123275.0,3,36.4,36.4,-10.3,-1.4,-20.0,9.7,4584451,3219242,0.702,50811,426497
1701123345.0,3,40.2,40.2,-8.6,-1.0,-17.8,9.2,5576819,4030553,0.723,49307,422659
1701123425.0,3,33.8,33.8,-10.4,-1.1,-20.3,9.9,4760679,3354417,0.705,48332,392182
1701123495.0,3,32.8,32.8,-11.7,-1.2,-21.8,10.1,4575202,3177549,0.695,52015,450902
1701123575.0,3,37.2,37.2,-10.4,-1.1,-19.2,8.8,5071201,3649880,0.72,48560,403722
1701123645.0,3,42.1,42.1,-8.8,-1.4,-17.6,8.8,5743920,4200293,0.731,47670,426451
1701123725.0,4,43.9,43.9,-8.0,-0.9,-16.4,8.4,5842487,4321246,0.74,46489,427138
1701123795.0,4,-10,59.0,-4.2,-0.8,-10.7,6.5,6284959,4692002,0.747,41006,459743
1701123875.0,4,32.8,32.8,-10.9,-1.3,-20.9,10.0,4158857,2882600,0.693,46670,432338
1701123955.0,4,42.1,42.1,-8.0,-0.7,-16.7,8.7,5668874,4143822,0.731,48800,425874
1701124025.0,4,40.2,40.2,-8.9,-0.8,-17.8,8.9,5195352,3781118,0.728,48669,400918
1701124105.0,4,28.0,28.0,-11.7,-1.2,-21.8,10.1,3342761,2245131,0.672,50774,399561
1701124175.0,4,44.5,44.5,-7.3,-0.8,-16.0,8.7,5808464,4272770,0.736,51577,395453
1701124255.0,4,48.0,48.0,-7.1,-0.7,-15.1,8.0,5957214,4409183,0.74,49567,405149
1701124325.0,4,29.7,29.7,-10.4,-0.9,-20.9,10.5,4107321,2825239,0.688,48496,396510
1701124405.0,4,38.6,38.6,-8.3,-0.9,-17.1,8.8,5299860,3836005,0.724,50662,413814
1701124475.0,4,43.4,43.4,-7.1,-0.7,-15.0,7.9,6042104,4459641,0.738,49377,427659
1701124555.0,4,49.6,49.6,-6.5,-0.8,-14.4,7.9,6478173,4796010,0.74,49314,411814
1701124625.0,4,33.8,33.8,-9.5,-0.8,-18.8,9.3,4885619,3452595,0.707,53558,389953
1701124705.0,4,37.2,37.2,-8.5,-0.8,-17.9,9.4,5425256,3907977,0.72,52926,402824
1701124775.0,4,36.4,36.4,-9.4,-0.9,-19.3,9.9,5123462,3627115,0.708,57635,440702
1701124855.0,5,29.7,29.7,-11.2,-1.1,-21.2,10.0,3918650,2670230,0.681,53549,434934
1701124925.0,5,43.4,43.4,-7.4,-0.9,-16.3,8.9,5811494,4272320,0.735,52696,449499
1701125005.0,5,38.6,38.6,-9.8,-0.8,-18.8,9.0,5052669,3638736,0.72,52170,464530
1701125085.0,5,32.8,32.8,-11.4,-0.7,-21.3,9.9,4240587,2950905,0.696,49848,373740
1701125155.0,5,33.8,33.8,-10.2,-1.0,-19.9,9.7,4425768,3123389,0.706,52253,416560
1701125235.0,5,37.2,37.2,-9.6,-1.0,-19.2,9.6,4447490,3161779,0.711,54139,406843
1701125305.0,5,40.2,40.2,-9.6,-1.0,-19.2,9.6,4574289,3283136,0.718,56140,413513
1701125385.0,5,28.0,28.0,-13.8,-1.6,-24.8,11.0,2882300,1889315,0.655,49330,369636
1701125455.0,5,49.6,49.6,-7.8,-0.9,-17.4,9.6,5124456,3734327,0.729,53778,477704
1701125535.0,5,36.4,36.4,-10.4,-1.1,-21.2,10.8,3787356,2629830,0.694,51843,399981
1701125605.0,5,43.9,43.9,-8.7,-1.1,-17.8,9.1,4842725,3516819,0.726,52301,414656
1701125685.0,5,48.0,48.0,-8.2,-1.1,-17.5,9.3,5038983,3675767,0.729,52521,364031
1701125755.0,5,-10,59.0,-4.6,-0.9,-11.8,7.2,5337132,3950430,0.74,44876,375262
1701125835.0,5,42.1,42.1,-9.5,-1.0,-19.2,9.7,4502634,3237901,0.719,54603,397126
1701125905.0,5,44.5,44.5,-7.9,-1.0,-18.1,10.2,4910648,3565942,0.726,53317,402611
